objectid,parentid,filename,format,type,language,creator,rights,subject,class,title,address,tourSiteNumber,date,modified,hasStylePeriod,architect,location,latitude,longitude,imageSource,imageDate,imageRights,description,sameAs
coll035,coll023,0212.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Bundy European Hotel,214-216 West Kirkwood Avenue,10,1890,,Italianate (architectural style),,Courthouse Square Historic District,39.16687137,-86.53568792,"Wikimedia Commons, User:Nyttend",2010-11-11,,"The first known occupancy of this building was the Bundy European Hotel. Located a block east of the Monon passenger station, a series of taverns and boarding house tenants occupied this site. The building features a cast iron front and a pressed metal cornice. The east side of the building was once called the “Theatorium,” a nickelodeon that showed movies.",
coll036,coll023,0213.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Benckart Building,112-114 South College Avenue,11,1890,,Italianate (architectural style),,Courthouse Square Historic District,39.16605639,-86.5351104,"Wikimedia Commons, User:Nyttend",2010-11-12,,"In 1878 George W. Benckart bought the Orchard Inn on this site and continued a bakery business already established. In October of 1888, the entire half block south of the alley burned down. The Benckart bakery business rebuilt on this site and its old brick oven is still intact.",
coll037,coll023,0214.jpg,image/jpg,Image;StillImage,,,,,Commercial building,"Hare Motor Sales Co.
Building",212-214 West 4th Street,12,1929,,Federal,,Courthouse Square Historic District,39.16572848,-86.53533272,Chase E. Hastings,2026-01-02,,"Various businesses have occupied the site, which began as a Harness Shop and Shoe Repair in 1909. In 1929, a unified limestone façade joined two separate ca. 1890 buildings into the Hare Motor Sales Co. Clyde W. Hare sold Packards in this new limestone and brick storefront until 1934.",
coll038,coll023,0215.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Old First National Bank,121-125 West Kirkwood Avenue,13,1907,,Federal,John Nichols,Courthouse Square Historic District,39.16642813,-86.53511175,"Wikimedia Commons, User:Nyttend",2010-11-11,,"This Classical Revival corner building was designed by John Nichols in a tour de force of limestone ornamentation including classical pilasters, dentils, modillions and rockfaced and dressed limestone courses. First National Bank located on this site in 1871 and built the current building in 1907. As part of the extensive work done on the south side of the square by CFC, it was restored in 1987.",
coll039,coll023,0216.jpg,image/jpg,Image;StillImage,,,,,Commercial building,"Buskirk Hill/Kahn
Building",112-114 West Kirkwood Avenue,14,1895,,Queen Anne Revival,,Courthouse Square Historic District,39.16637762,-86.53425679,"Wikimedia Commons, User:Nyttend",2010-11-12,,"Kahn’s Clothing Store was one of the longest operating businesses in the downtown. Founded by Moses Kahn in 1866, it remained in operation until 1985. In 1898 the Knights of Pythias and the Rathbone Sisters moved into the third floor of this building and named it “Castle Hall.” The eclectic style with its projecting stacked bay windows, shaped shingles and curvilinear parapet is distinctive.",
coll040,coll023,0217.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Mendelssohn Hall,103-105 West Kirkwood Avenue,15,1868,1915,,,Courthouse Square Historic District,39.16635717,-86.53394361,"Wikimedia Commons, User:Nyttend",2010-12-17,,"The Old Opera House is undoubtedly the oldest building on the south side of the square and has an illustrious past. Originally built with a large 2nd floor room boasting 18 foot ceilings, the Showers and Hendrix Furniture and Casket Company used the area as a showroom until 1872. Shortly thereafter, the Mendelssohn Society brought many shows to this location, including one featuring James Whitcomb Riley. H.B. Gentry opened his circus career, the Dog and Pony Show, at the Opera House in 1887 then went on to head the world famous Gentry Brothers Circus.",
coll041,coll023,0218.jpg,image/jpg,Image;StillImage,,,,,Public building,Old City Hall,122 South Walnut Street,16,1915,,Beaux-Arts (style),,Courthouse Square Historic District,39.16587572,-86.53394296,"Wikimedia Commons, User:Nyttend",2009-11-05,,"The 1915 Bloomington City Hall was the city’s first and only building built to house the municipal government. It also conjoined the police and fire departments within the same structure. City Hall was designed in the beaux-arts style that had become very popular in institutional construction of the early twentieth century. In 1992, the building was restored for its new use, the John Waldron Arts Center.",
coll042,coll023,0219.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Allen Building,102-104 East Kirkwood Avenue,17,1907,,Queen Anne Revival; Federal,John L. Nichols,Courthouse Square Historic District,39.16637337,-86.53320196,"Wikimedia Commons, User:Nyttend",2010-12-17,,"The Bloomington National Bank was the first to occupy the Allen Building, which has had a variety of retail and office uses through the years. A mixture of commercial styles it shows the influence of both Queen Anne and Classical Revival styles in its complex massing, dentilled cornice, Ionic pilasters and pedimented gables. Original
leaded clerestories and pressed tin ceilings are still visible at the Uptown Café, which has become a noted watering hole for Bloomington’s movers and shakers.",
coll043,coll023,0220.jpg,image/jpg,Image;StillImage,,,,,Commercial building,Odd Fellows Hall,108-110 East Kirkwood Avenue,18,1913,,Craftsman (style),,Courthouse Square Historic District,39.16630514,-86.53300715,"Wikimedia Commons, User:Nyttend",2010-12-17,,"In many ways a typical masonic building, Odd Fellows Hall was originally built to serve a bakery use. The grain was stored on the second floor with the ovens in the basement. Later used by the Odd Fellows, the large rooms used for ceremony are still evident.",
coll044,coll023,0221.jpg,image/jpg,Image;StillImage,,,,,Commercial building,"Buskirk-Chumley
Theater",112 East Kirkwood Avenue,19,1922,,Spanish Eclectic Style,,Courthouse Square Historic District,39.16644652,-86.53290437,"Wikimedia Commons, User:Nyttend",2010-12-17,,"Harry and Nova Vonderschmitt built the former Indiana Theatre for the cinema. Reflecting, as it did, the exotic appeal of the heyday of American movies, the theater is an eclectic mix of Spanish and Classical Revival styles. The memory of Hoagy Carmichael is also linked with the old Indiana. Substantial community effort led to its restoration and reuse by the city. It is now a performing arts venue.",
